,name1,text1,year,field,additional
131,Alvin E. Roth,"Alvin E. Roth and Lloyd S. Shapley
“for the theory of stable allocations and the practice of market design”",2012,economics,"['a> and <a href=""https:', 'a><br']"
132,Lloyd S. Shapley,"Alvin E. Roth and Lloyd S. Shapley
“for the theory of stable allocations and the practice of market design”",2012,economics,"['a> and <a href=""https:', 'a><br']"
134,Saul Perlmutter,"Saul Perlmutter, Brian P. Schmidt and Adam G. Riess
“for the discovery of the accelerating expansion of the Universe through observations of distant supernovae”",2011,physics,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
135,Brian P. Schmidt,"Saul Perlmutter, Brian P. Schmidt and Adam G. Riess
“for the discovery of the accelerating expansion of the Universe through observations of distant supernovae”",2011,physics,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
136,Adam G. Riess,"Saul Perlmutter, Brian P. Schmidt and Adam G. Riess
“for the discovery of the accelerating expansion of the Universe through observations of distant supernovae”",2011,physics,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
138,Dan Shechtman,"Dan Shechtman
“for the discovery of quasicrystals”",2011,chemistry,['a><br']
140,Bruce A. Beutler,"Bruce A. Beutler and Jules A. Hoffmann
“for their discoveries concerning the activation of innate immunity”
Ralph M. Steinman
“for his discovery of the dendritic cell and its role in adaptive immunity”",2011,medicine,"['a> and <a href=""https:', 'a><br', 'a><br']"
141,Jules A. Hoffmann,"Bruce A. Beutler and Jules A. Hoffmann
“for their discoveries concerning the activation of innate immunity”
Ralph M. Steinman
“for his discovery of the dendritic cell and its role in adaptive immunity”",2011,medicine,"['a> and <a href=""https:', 'a><br', 'a><br']"
142,Ralph M. Steinman,"Bruce A. Beutler and Jules A. Hoffmann
“for their discoveries concerning the activation of innate immunity”
Ralph M. Steinman
“for his discovery of the dendritic cell and its role in adaptive immunity”",2011,medicine,"['a> and <a href=""https:', 'a><br', 'a><br']"
150,Thomas J. Sargent,"Thomas J. Sargent and Christopher A. Sims
“for their empirical research on cause and effect in the macroeconomy”",2011,economics,"['a> and <a href=""https:', 'a><br']"
151,Christopher A. Sims,"Thomas J. Sargent and Christopher A. Sims
“for their empirical research on cause and effect in the macroeconomy”",2011,economics,"['a> and <a href=""https:', 'a><br']"
153,Andre Geim,"Andre Geim and Konstantin Novoselov
“for groundbreaking experiments regarding the two-dimensional material graphene”",2010,physics,"['a> and <a href=""https:', 'a><br']"
154,Konstantin Novoselov,"Andre Geim and Konstantin Novoselov
“for groundbreaking experiments regarding the two-dimensional material graphene”",2010,physics,"['a> and <a href=""https:', 'a><br']"
156,Richard F. Heck,"Richard F. Heck, Ei-ichi Negishi and Akira Suzuki
“for palladium-catalyzed cross couplings in organic synthesis”",2010,chemistry,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
157,Ei-ichi Negishi,"Richard F. Heck, Ei-ichi Negishi and Akira Suzuki
“for palladium-catalyzed cross couplings in organic synthesis”",2010,chemistry,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
158,Akira Suzuki,"Richard F. Heck, Ei-ichi Negishi and Akira Suzuki
“for palladium-catalyzed cross couplings in organic synthesis”",2010,chemistry,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
160,Robert G. Edwards,"Robert G. Edwards
“for the development of in vitro fertilization”",2010,medicine,['a><br']
166,Peter A. Diamond,"Peter A. Diamond, Dale T. Mortensen and Christopher A. Pissarides
“for their analysis of markets with search frictions”",2010,economics,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
167,Dale T. Mortensen,"Peter A. Diamond, Dale T. Mortensen and Christopher A. Pissarides
“for their analysis of markets with search frictions”",2010,economics,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
168,Christopher A. Pissarides,"Peter A. Diamond, Dale T. Mortensen and Christopher A. Pissarides
“for their analysis of markets with search frictions”",2010,economics,"['a>, <a href=""https:', 'a> and <a href=""https:', 'a><br']"
